Claim,Source,Truth,Sentence_len,Type,Word_avg_len,NN_ratio,NNS_ratio,NNP_ratio,NNPS_ratio,PRP_ratio,PRP$_ratio,WP_ratio,WP$_ratio,Noun_ratio,VB_ratio,VBD_ratio,VBG_ratio,VBN_ratio,VBP_ratio,VBZ_ratio,Verb_ratio,JJ_ratio,JJR_ratio,JJS_ratio,Adj_ratio,RB_ratio,RBR_ratio,RBS_ratio,WRB_ratio,Adv_ratio,CC_ratio,CD_ratio,DT_ratio,EX_ratio,FW_ratio,IN_ratio,LS_ratio,MD_ratio,PDT_ratio,POS_ratio,RP_ratio,SYM_ratio,TO_ratio,UH_ratio,WDT_ratio,Function_ratio,Content_ratio
"Covid-19 impact: Google employees told they can work from home till mid-2021 in India, globally",COVID Fake News Dataset,TRUE,15,15,5.533333333,20,6.666666667,13.33333333,0,6.666666667,0,0,0,46.66666666,6.666666667,6.666666667,0,0,0,0,13.33333333,13.33333333,0,0,13.33333333,6.666666667,0,0,0,6.666666667,0,0,0,0,0,13.33333333,0,6.666666667,0,0,0,0,0,0,0,20,80
Spices Recalled Over Salmonella Fears,CoAID,TRUE,5,5,6.6,0,20,40,0,0,0,0,0,60,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,80
Monitor Performance of Case Investigation and Contact Tracers,CoAID,TRUE,8,8,6.75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,75
Scientists Uncover the Structural Mechanism of Coronavirus Receptor Binding,CoAID,TRUE,9,9,7.444444444,0,11.11111111,55.55555556,0,0,0,0,0,66.66666667,0,0,0,0,11.11111111,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,11.11111111,0,0,0,0,0,0,0,0,0,22.22222222,77.77777778
"The operator of popular NYC eateries including the Gramercy Tavern says restaurants likely won't open until there's a COVID-19 vaccine. That'll be in January at the earliest, medical experts say.",ReCOVery,TRUE,30,29,5.6,6.666666667,10,13.33333333,0,0,0,0,0,30,6.666666667,0,3.333333333,0,3.333333333,6.666666667,20,13.33333333,0,3.333333333,16.66666666,3.333333333,0,0,0,3.333333333,0,0,16.66666667,3.333333333,0,13.33333333,0,6.666666667,0,0,0,0,0,0,0,40,69.99999999
"Santa Clara County, California Community Mitigation",CoAID,TRUE,6,6,8,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"In Recovering COVID-19 Patients, Antibodies Fade Quickly",CoAID,TRUE,7,7,7.428571429,0,28.57142857,14.28571429,0,0,0,0,0,42.85714286,0,14.28571429,14.28571429,0,0,0,28.57142858,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428573
What to Know About Coronavirus If You Have Asthma,CoAID,TRUE,9,9,4.555555556,0,0,11.11111111,0,11.11111111,0,11.11111111,0,33.33333333,11.11111111,0,0,11.11111111,11.11111111,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,11.11111111,0,0,33.33333333,66.66666666
Don't Expect a Baby Boom After Pandemic Lockdowns,CoAID,TRUE,8,8,5.25,0,0,50,0,0,0,0,0,50,12.5,0,0,0,12.5,0,25,0,0,0,0,12.5,0,0,0,12.5,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,25,87.5
Considerations for Non-emergency Vehicle Transportation for Tribal Communities During COVID-19,CoAID,TRUE,10,9,8.5,0,10,60,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,70
Early Oxygen Therapy Vital for Pregnant Patients With COVID-19,CoAID,TRUE,9,9,6,0,0,55.55555556,11.11111111,0,0,0,0,66.66666667,0,0,0,0,0,0,0,11.11111111,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,22.22222222,77.77777778
Cleveland Clinic Akron General to Open COVID-19 Testing Site in Akron,CoAID,TRUE,11,10,5.363636364,0,0,72.72727273,0,0,0,0,0,72.72727273,9.090909091,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,9.090909091,0,0,18.18181818,81.81818182
Northeast Adds 8 More States to Quarantine List,CoAID,TRUE,8,8,5,0,12.5,50,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,25,75
Google makes education push in India,COVID Fake News Dataset,TRUE,6,6,5.166666667,33.33333333,0,33.33333333,0,0,0,0,0,66.66666666,0,0,0,0,0,16.66666667,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,83.33333333
"Trump administration cuts funding for coronavirus researcher, jeopardizing possible COVID-19 cure",ReCOVery,TRUE,11,11,8.090909091,36.36363636,9.090909091,9.090909091,0,0,0,0,0,54.54545454,0,0,18.18181818,0,0,0,18.18181818,18.18181818,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,9.090909091,90.9090909
Resources for Correctional and Detention Facilities,CoAID,TRUE,6,6,7.666666667,0,16.66666667,50,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,33.33333334,66.66666667
"Google employee down with COVID-19, Amazon curbs travel",COVID Fake News Dataset,TRUE,8,8,6.25,25,0,37.5,0,0,0,0,0,62.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,25,75
Grounded in Arizona: Flights arrive but don't leave as ailing airlines park fleets,ReCOVery,TRUE,13,13,5.384615385,7.692307692,23.07692308,7.692307692,0,0,0,0,0,38.46153846,7.692307692,0,7.692307692,7.692307692,15.38461538,0,38.46153846,0,0,0,0,7.692307692,0,0,0,7.692307692,7.692307692,0,0,0,0,15.38461538,0,0,0,0,0,0,0,0,0,23.07692307,84.61538461
Healthcare Infection Prevention and Control FAQs for COVID-19,CoAID,TRUE,8,8,6.75,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,75
U.S. Rep. Gohmert Tests Positive for COVID-19,CoAID,TRUE,7,7,5.571428571,0,0,85.71428571,0,0,0,0,0,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428571
"As Biden crafts U.S. coronavirus response proposals, Warren has his ear",ReCOVery,TRUE,11,11,5.727272727,27.27272727,18.18181818,27.27272727,0,0,9.090909091,0,0,81.81818181,0,0,0,0,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,9.090909091,90.9090909
"Coronavirus testing: Coming to a drugstore, urgent care, living room near you",ReCOVery,TRUE,12,12,5.666666667,33.33333333,0,0,0,8.333333333,0,0,0,41.66666666,0,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,16.66666667,0,0,0,0,0,0,0,8.333333333,0,0,8.333333333,0,0,0,0,0,0,8.333333333,0,0,25,75
"Won't kill viruses already in the body, and may be harmful",MythBusters,TRUE,11,11,4.545454545,9.090909091,9.090909091,0,0,0,0,0,0,18.18181818,18.18181818,0,0,0,9.090909091,0,27.27272727,9.090909091,0,0,9.090909091,18.18181818,0,0,0,18.18181818,9.090909091,0,9.090909091,0,0,9.090909091,0,9.090909091,0,0,0,0,0,0,0,36.36363636,72.72727272
"The Week That Wasn't in COVID-19: 17 Days, Peak in 3 Weeks, Croc",CoAID,TRUE,13,12,4.153846154,0,7.692307692,46.15384615,0,0,0,0,0,53.84615384,0,0,0,0,7.692307692,0,7.692307692,0,0,0,0,7.692307692,0,0,0,7.692307692,0,15.38461538,7.692307692,0,0,15.38461538,0,0,0,0,0,0,0,0,0,38.46153845,69.23076923
COVID-19 Rapid Response Team Guidance,CoAID,TRUE,5,5,6.6,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Coronavirus: Ocean City boardwalk sees packed crowds as beach reopens,ReCOVery,TRUE,10,10,6,40,10,20,0,0,0,0,0,70,0,0,0,0,0,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,90
Rural Hospitals Prepare for Two Vastly Different Scenarios,CoAID,TRUE,8,8,6.375,0,12.5,50,0,0,0,0,0,62.5,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,75
Why COVID-19 Is Particularly Dangerous for Older Black Americans,CoAID,TRUE,9,9,6.222222222,0,0,55.55555556,11.11111111,0,0,0,0,66.66666667,0,0,0,0,0,11.11111111,11.11111111,0,0,0,0,0,0,0,11.11111111,11.11111111,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,11.11111111,88.88888889
CDC Points to Three Main COVID-19 Symptoms,CoAID,TRUE,7,7,5.142857143,0,14.28571429,57.14285714,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,28.57142858,71.42857143
MRIs Show COVID-19 May Invade the Brain,CoAID,TRUE,7,7,4.714285714,0,0,85.71428571,0,0,0,0,0,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,85.71428571
"I Want to Retire, But Just Can't Say Goodbye",CoAID,TRUE,9,9,4.222222222,0,0,55.55555556,0,11.11111111,0,0,0,66.66666667,0,0,0,0,11.11111111,0,11.11111111,0,0,0,0,11.11111111,0,0,0,11.11111111,11.11111111,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,22.22222222,88.88888889
IH mobilizes national innovation initiative for COVID-19 diagnostics,CoAID,TRUE,8,8,7.625,25,12.5,25,0,0,0,0,0,62.5,0,0,0,0,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,87.5
Coronavirus may spread faster than WHO estimate,CoAID,TRUE,7,7,5.857142857,14.28571429,0,0,0,0,0,14.28571429,0,28.57142858,14.28571429,0,0,0,14.28571429,0,28.57142858,0,14.28571429,0,14.28571429,0,0,0,0,0,0,0,0,0,0,14.28571429,0,14.28571429,0,0,0,0,0,0,0,28.57142858,71.42857145
COVID-19 One-Stop Shop Toolkits,CoAID,TRUE,4,4,7,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U.S. Spread of COVID-19 Likely Began in January,CoAID,TRUE,8,8,5,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,75
Toolkit for Worker Safety & Support,CoAID,TRUE,6,6,5,0,0,66.66666667,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,33.33333334,66.66666667
U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet): Overall Percentage of Visits for ILI,CoAID,TRUE,13,13,7.230769231,7.692307692,7.692307692,61.53846154,0,0,0,0,0,76.92307692,0,0,0,0,0,0,0,7.692307692,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,15.38461538,0,0,0,0,0,0,0,0,0,15.38461538,84.61538462
Scientists Slam White House for Herd Immunity Claim,CoAID,TRUE,8,8,5.5,0,12.5,75,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,87.5
Everyone is dealing with the coronavirus pandemic as best they can,ReCOVery,TRUE,11,11,5.090909091,18.18181818,0,0,0,9.090909091,0,0,0,27.27272727,0,0,9.090909091,0,0,9.090909091,18.18181818,9.090909091,0,9.090909091,18.18181818,0,0,0,0,0,0,0,9.090909091,0,0,18.18181818,0,9.090909091,0,0,0,0,0,0,0,36.36363636,63.63636364
Flu Season Off to Early Start: More Than 3 Million Cases in the U.S.,CoAID,TRUE,14,14,3.928571429,7.142857143,0,35.71428571,7.142857143,0,0,0,0,50,0,0,0,0,0,0,0,7.142857143,7.142857143,0,14.28571429,0,0,0,0,0,0,7.142857143,7.142857143,0,0,7.142857143,0,0,0,0,0,0,7.142857143,0,0,28.57142857,64.28571428
"COVID-19 Daily: High-Risk Specialties, Flu Comparisons",CoAID,TRUE,6,6,8.5,0,16.66666667,33.33333333,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Placentas from COVID-19-positive pregnant women show injury,CoAID,TRUE,7,7,7.571428571,14.28571429,28.57142857,0,0,0,0,0,0,42.85714286,0,0,0,0,14.28571429,0,14.28571429,28.57142857,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,85.71428572
"After Battling Flint Water Crisis, Doc Faces COVID Fight",CoAID,TRUE,9,9,5.555555556,0,0,77.77777778,0,0,0,0,0,77.77777778,0,0,11.11111111,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,0,11.11111111,88.88888889
18 BSF personnel among 23 new COVID-19 cases in Meghalaya,COVID Fake News Dataset,TRUE,10,10,4.8,0,20,20,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,40,60
Describe COVID-19 Case Investigation Protocol,CoAID,TRUE,5,5,8.2,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
We're Not All Equal in the Face of the Coronavirus,CoAID,TRUE,10,9,4.1,0,0,30,0,10,0,0,0,40,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,10,0,0,30,0,0,20,0,0,0,0,0,0,0,0,0,50,60
CDC Recommends Barring Travelers Without Masks,CoAID,TRUE,6,6,6.833333333,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Survivors' COVID Antibodies May Be a Powerful Gift,CoAID,TRUE,8,8,5.375,12.5,25,25,0,0,0,0,0,62.5,12.5,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,25,87.5
"Till date (as per WHO), the virus has not been detected in the breast milk of any mother with confirmed or suspected COVID-19 infection.",MythBusters,TRUE,24,23,4.791666667,33.33333333,0,4.166666667,0,0,0,0,0,37.5,0,0,0,12.5,0,4.166666667,16.66666667,4.166666667,0,0,4.166666667,4.166666667,0,0,0,4.166666667,4.166666667,0,12.5,0,0,20.83333333,0,0,0,0,0,0,0,0,0,37.5,62.5
Study Disputes Views on COVID-19 'Cytokine Storm',CoAID,TRUE,7,7,6.142857143,0,14.28571429,57.14285714,0,0,0,0,0,71.42857143,0,0,0,0,0,14.28571429,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,14.28571429,0,0,0,0,0,28.57142858,85.71428572
"As investors ditch foreign ETFs for U.S. funds, there's a 'big contrarian call' in play, says issuer",ReCOVery,TRUE,17,17,5.058823529,17.64705882,11.76470588,11.76470588,0,0,0,0,0,41.17647058,0,0,0,0,5.882352941,11.76470588,17.64705882,17.64705882,0,0,17.64705882,0,0,0,0,0,0,0,5.882352941,5.882352941,0,17.64705882,0,0,0,0,0,0,0,0,0,29.4117647,76.47058822
"The Drive-Thru: CEOs reveal how COVID-19 is changing business, inside the pandemic at McDonald's, and Amazon opens 'dark' Whole Foods",ReCOVery,TRUE,20,20,5.8,10,5,35,0,0,0,0,0,50,5,0,5,0,0,10,20,0,0,0,0,0,0,0,5,5,5,0,10,0,0,10,0,0,0,10,0,0,0,0,0,35,75
Delay or Avoidance of Medical Care Because of COVID-19-Related Concerns - United States,CoAID,TRUE,13,12,5.769230769,15.38461538,0,38.46153846,7.692307692,0,0,0,0,61.53846153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,23.07692308,0,0,0,0,0,0,0,0,0,30.76923077,61.53846153
Study: Coronavirus May Pass From Mom to Baby,CoAID,TRUE,8,8,4.625,12.5,0,62.5,0,0,0,0,0,75,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,87.5
Advocates Welcome Down Syndrome Guidance for Adults,CoAID,TRUE,7,7,6.428571429,0,14.28571429,42.85714286,0,0,0,0,0,57.14285715,0,0,0,0,14.28571429,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,14.28571429,0,0,0,0,28.57142858,71.42857144
"Bouncing, Sticking, Exploding Viruses: Understanding the Surface Chemistry of SARS-CoV-2",CoAID,TRUE,10,10,8.1,0,0,60,0,0,0,0,0,60,0,0,10,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,20,80
"Terrence McNally, Tony Award-winning playwright, dies at 81 from coronavirus complications",ReCOVery,TRUE,11,11,7.454545455,18.18181818,9.090909091,36.36363636,0,0,0,0,0,63.63636363,0,0,0,0,0,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,27.27272727,72.72727272
Trump Reveals Blueprint to Increase COVID Testing,CoAID,TRUE,7,7,6.142857143,14.28571429,14.28571429,57.14285714,0,0,0,0,0,85.71428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,85.71428572
COVID-19: TB vaccine to be trialed in healthcare staff,CoAID,TRUE,9,9,5.111111111,44.44444444,0,0,0,0,0,0,0,44.44444444,11.11111111,0,0,11.11111111,0,0,22.22222222,11.11111111,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,11.11111111,0,0,22.22222222,77.77777777
Studies show hydroxychloroquine does not have clinical benefits in treating COVID-19 ,CoAID,TRUE,12,12,6.166666667,16.66666667,16.66666667,0,0,0,0,0,0,33.33333334,8.333333333,0,8.333333333,0,8.333333333,8.333333333,33.33333333,8.333333333,0,0,8.333333333,8.333333333,0,0,0,8.333333333,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,8.333333333,83.33333334
How NASA is preparing to launch humans to space as coronavirus pandemic worsens,ReCOVery,TRUE,13,12,5.153846154,23.07692308,15.38461538,7.692307692,0,0,0,0,0,46.15384615,7.692307692,0,7.692307692,0,0,7.692307692,23.07692308,0,0,0,0,0,0,0,7.692307692,7.692307692,0,0,0,0,0,7.692307692,0,0,0,0,0,0,15.38461538,0,0,23.07692307,76.92307692
What to do if a Student Becomes Sick at School or Reports a New COVID-19 Diagnosis Flowchart,CoAID,TRUE,17,16,4.470588235,5.882352941,0,41.17647059,0,0,0,5.882352941,0,52.94117647,11.76470588,0,0,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,5.882352941,0,11.76470588,0,0,11.76470588,0,0,0,0,0,0,5.882352941,0,0,35.29411764,64.70588235
Fitbit is reportedly planning to build ventilators to help treat COVID-19 patients,ReCOVery,TRUE,12,11,5.916666667,8.333333333,16.66666667,0,0,0,0,0,0,25,25,0,8.333333333,0,0,8.333333333,41.66666667,8.333333333,0,0,8.333333333,8.333333333,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,16.66666667,83.33333334
Protect your home,CoAID,TRUE,3,3,5,33.33333333,0,0,0,0,33.33333333,0,0,66.66666666,33.33333333,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99999999
Blood and Plasma Collection,CoAID,TRUE,4,4,6,25,0,50,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75
Some Data May Be Worse Than No Data in the COVID Era,CoAID,TRUE,12,11,3.416666667,8.333333333,0,58.33333333,0,0,0,0,0,66.66666666,0,0,0,0,0,0,0,0,8.333333333,0,8.333333333,0,0,0,0,0,0,0,16.66666667,0,0,8.333333333,0,0,0,0,0,0,0,0,0,25,75
False claim: Family of COVID-19 victim broke into morgue to find her still breathing inside body bag,ReCOVery,TRUE,17,17,4.941176471,29.41176471,0,5.882352941,0,0,5.882352941,0,0,41.17647059,5.882352941,5.882352941,5.882352941,0,0,0,17.64705882,5.882352941,0,0,5.882352941,11.76470588,0,0,0,11.76470588,0,0,0,0,0,17.64705882,0,0,0,0,0,0,5.882352941,0,0,23.52941176,76.47058824
Popular COVID-19 videos on YouTube misinform the public,CoAID,TRUE,8,8,6,25,0,25,0,0,0,0,0,50,12.5,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,25,75
Keystone pipeline project proceeds amidst COVID-19 pandemic,ReCOVery,TRUE,7,7,7.571428571,42.85714286,14.28571429,28.57142857,0,0,0,0,0,85.71428572,0,0,0,0,14.28571429,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
COVID-19 is NOT transmitted through houseflies,CoAID,TRUE,6,6,6.833333333,0,16.66666667,33.33333333,0,0,0,0,0,50,0,0,0,16.66666667,0,16.66666667,33.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,83.33333334
Blood pressure drugs may improve COVID-19 survival,CoAID,TRUE,7,7,6.285714286,28.57142857,14.28571429,28.57142857,0,0,0,0,0,71.42857143,14.28571429,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,14.28571429,85.71428572
Disney's 'Frozen' on Broadway to permanently close due to COVID-19 pandemic,ReCOVery,TRUE,11,10,5.909090909,9.090909091,0,27.27272727,0,0,0,0,0,36.36363636,9.090909091,0,0,0,0,0,9.090909091,18.18181818,0,0,18.18181818,9.090909091,0,0,0,9.090909091,0,0,0,0,0,9.090909091,0,0,0,18.18181818,0,0,18.18181818,0,0,45.45454545,72.72727272
Colleges Testing Wastewater to Find COVID Early,CoAID,TRUE,7,7,5.857142857,0,14.28571429,42.85714286,0,0,0,0,0,57.14285715,14.28571429,0,14.28571429,0,0,0,28.57142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,14.28571429,85.71428573
